id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>
5407	cardiovascular parameters	1.0054	0.2543	3	265	555	19
5413	cardiovascular risk	0.2883	-0.689	2	412	1215	54
5429	cardiovascular system	0.508	0.5189	5	241	424	26
5449	carotid arteries	1.1764	-0.001	3	179	369	15
5450	carotid artery	1.0935	-0.0778	3	246	607	27
5629	causes of death	-0.7105	0.1265	1	359	1025	60
5819	cerebrovascular accident	0.5246	-0.3856	2	547	2205	77
5822	cerebrovascular disease	0.5573	-0.3107	2	254	469	16
5991	chemical detection	-0.1822	0.4959	4	321	781	52
6014	chemistry	0.7656	-0.5572	2	234	740	50
6045	chest x-ray image	-0.697	-0.6418	1	145	345	28
6068	child	0.5816	0.3761	3	395	1075	40
6091	china	-0.0703	-0.6586	2	283	555	33
6118	cholesterol	0.6123	-0.72	2	356	972	37
6119	cholesterol blood level	0.3442	-0.8499	2	313	763	23
6170	chronic disease	-0.3645	-0.8159	1	437	1228	71
6185	chronic kidney disease	-0.2485	-0.8526	1	293	695	58
6190	chronic kidney failure	0.4941	-0.7822	2	390	1096	35
6198	chronic obstructive lung disease	0.5743	-0.5507	2	212	419	16
6317	class imbalance	-0.9047	-0.3144	1	205	414	43
6345	classification	-0.5488	0.1195	1	843	6904	514
6346	classification (of information)	-0.8343	0.2647	1	912	14825	903
6348	classification accuracy	-0.599	0.2101	1	372	929	61
6349	classification algorithm	-0.3831	0.3157	4	742	4275	183
6379	classification methods	-0.5985	0.0025	1	222	428	30
6381	classification models	-0.5528	-0.1784	1	404	1019	73
6398	classification performance	-0.6949	0.4551	4	266	595	33
6428	classifier	-0.0003	-0.0776	2	752	4406	164
6442	classifiers	-0.9613	-0.5049	1	285	792	55
6477	clinical article	0.6019	0.2304	5	732	3905	143
6478	clinical assessment	0.6601	-0.1862	2	273	499	18
6488	clinical data	-0.1023	-0.6165	1	249	458	26
6495	clinical decision making	0.4419	-0.3477	2	521	1458	60
6499	clinical decision support system	-0.0431	-0.6946	2	362	797	39
6511	clinical diagnosis	-0.1456	-0.1636	4	266	540	33
6518	clinical effectiveness	0.6963	-0.2184	2	231	468	19
6520	clinical evaluation	0.4953	-0.1077	2	378	877	35
6525	clinical feature	0.6883	-0.5088	2	424	1212	43
6556	clinical outcome	0.585	-0.5084	2	371	911	34
6560	clinical practice	0.5058	-0.1559	3	396	1013	38
6562	clinical practices	0.4724	0.362	3	220	363	20
6574	clinical research	0.0256	-0.2607	1	579	1838	103
6584	clinical study	0.5871	-0.2357	5	217	376	13
6596	clinical trial	0.8302	-0.359	2	287	524	21
6649	cloud computing	-0.9758	-0.0847	1	379	1145	92
6677	cloud-computing	-1.0825	-0.0182	1	273	808	66
6685	cluster analysis	-0.2938	-0.277	1	367	791	47
6700	clustering	-0.8506	0.0996	1	217	400	45
6703	clustering algorithms	-0.892	-0.1079	1	376	1011	86
6726	clusterings	-0.7714	0.1323	1	265	528	45
6741	cnn	-0.7015	0.5325	4	465	1677	152
6906	cognition	0.255	-0.0171	5	196	354	17
6948	cohort analysis	0.791	-0.4856	2	609	2702	87
7151	comorbidity	0.4062	-0.8203	2	287	688	26
7176	comparative study	0.3347	0.0574	2	761	4017	157
7237	complex networks	-0.5531	0.4364	4	398	1079	74
7276	complication	0.8786	-0.4682	2	307	744	29
7347	computation theory	0.1054	0.1578	3	226	376	31
7367	computational efficiency	-0.7762	0.2188	1	339	758	54
7372	computational fluid dynamics	1.1545	0.0701	3	214	708	41
7396	computational modelling	0.0719	0.2086	3	483	1462	77
7421	computed tomographic angiography	1.2124	0.1171	3	299	949	32
7422	computed tomography	0.8971	-0.1885	3	260	645	38
7426	computed tomography angiography	1.2397	0.1689	3	230	648	26
7432	computed tomography images	0.0067	-0.3345	3	192	387	24
7442	computer aided design	0.0444	0.0909	3	330	758	35
7446	computer aided diagnosis	-0.4736	0.2036	3	783	6307	339
7455	computer aided instruction	-0.5977	0.0911	3	260	595	38
7461	computer architecture	-0.6126	0.2656	1	282	574	36
7463	computer assisted diagnosis	0.6213	0.0926	3	568	2338	74
7466	computer assisted tomography	0.7643	-0.1667	3	527	2127	73
7469	computer circuits	-0.5679	-0.4692	1	208	414	32
7485	computer language	-0.0636	-0.4046	2	224	383	13
7487	computer model	0.788	0.0372	3	500	1527	53
7504	computer simulation	0.7721	0.1225	3	352	820	35
7514	computer vision	0.1395	0.339	3	399	1046	68
7551	computerized tomography	0.5644	-0.0943	3	604	3308	179
7602	conceptual framework	0.2392	-0.0857	3	348	727	26
7625	condition	-0.3296	0.0811	4	528	1754	115
7669	confidence interval	0.4835	-0.4184	2	208	368	15
7698	confusion matrix	-0.0795	-0.7988	2	255	554	29
7708	congenital heart disease	0.7718	0.5074	3	303	915	41
7710	congenital heart malformation	0.7146	0.8153	3	158	363	13
7718	congestive heart failure	0.0713	0.9915	4	260	643	28
7721	congestive heart failures	-0.4101	1.0746	4	191	421	23
7953	continuous monitoring	0.2036	0.7699	5	245	547	29
7970	continuous wavelet transform	-0.1875	1.104	4	282	790	29
7996	contrastive learning	-0.5218	-0.2701	1	532	2311	185
8037	controlled study	0.4465	-0.1144	2	982	19484	723
8101	convolution	-0.4577	0.5562	4	829	7650	445
8111	convolution neural network	-0.6223	0.5174	4	331	852	64
8142	convolutional networks	-0.1789	0.6642	4	299	695	44
8145	convolutional neural network	-0.1552	0.4566	4	972	16840	874
8146	convolutional neural network (cnn)	-0.3541	0.4922	4	379	932	73
8165	convolutional neural networks	-0.5344	0.4966	4	870	9562	632
8234	coronary angiography	1.1914	-0.0456	3	334	1139	47
8239	coronary arteries	1.1641	0.2248	3	223	579	31
8241	coronary artery	1.0353	0.4526	3	194	409	18
8257	coronary artery disease	0.6096	-0.1645	3	642	3218	159
8286	coronary blood vessel	1.2656	0.0925	3	244	830	30
8300	coronary heart disease	0.0293	-0.5078	1	334	816	58
8319	coronary stenosis	1.2778	0.0554	3	176	420	16
8326	coronary vessels	1.2636	0.023	3	232	790	28
8329	coronavirus	-0.4669	-0.6579	1	229	445	34
8330	coronavirus disease 2019	0.0893	-0.6246	2	463	1391	51
8341	coronaviruses	-0.4294	-0.6867	1	248	534	39
8355	correlation	0.0922	-0.0997	5	221	383	21
8356	correlation analysis	0.3689	-0.6136	2	276	520	23
8359	correlation coefficient	0.425	0.0373	2	557	1649	68
8370	correlation methods	0.0509	0.2971	5	399	974	52
8430	cost benefit analysis	-0.263	-0.1657	1	235	374	22
8435	cost effectiveness	-0.0464	0.095	1	411	951	65
8463	costs	-0.523	0.2673	1	231	437	36
8511	covid-19	-0.3148	-0.6144	1	566	2358	194
8574	creatinine	0.5052	-0.8606	2	338	811	29
8690	cross validation	0.1859	-0.1895	2	766	4727	180
8728	cross-sectional study	0.8059	-0.598	2	234	515	22
8779	cryptography	-1.0601	0.0418	1	192	377	32
8839	cuffless	0.4404	1.0209	5	209	644	27
9035	cytology	0.2703	-0.5207	2	195	404	34
9100	data accuracy	-0.4228	-0.1196	1	382	923	48
9101	data acquisition	-0.545	0.2092	1	400	989	72
9109	data analysis	-0.1506	-0.377	1	444	1067	60
9116	data analytics	-0.7332	-0.3582	1	308	691	51
9124	data augmentation	-0.2198	0.3364	1	349	830	62
9132	data base	-0.0704	0.571	4	442	1335	50
9143	data classification	-0.9726	-0.309	1	246	511	38
9173	data driven	-0.3787	-0.2701	1	189	337	39
9198	data fusion	-0.5189	0.0811	1	226	350	29
9206	data handling	-0.7343	0.0246	1	558	2273	156
9216	data integration	-0.7068	-0.0747	1	233	403	30
9233	data mining	-0.6503	-0.4877	1	715	4074	312
9264	data privacy	-0.7749	-0.0117	1	343	853	65
9269	data processing	-0.0981	-0.0423	5	508	1584	63
9280	data reduction	-0.6424	-0.1869	1	210	392	30
9305	data set	-0.7166	-0.4942	1	270	528	48
9344	data visualization	-0.1649	0.0104	1	252	435	33
9388	database systems	-0.0644	0.8515	4	360	999	46
9391	"databases, factual"	0.0394	0.8224	4	350	1034	34
9442	de-noising	-0.2904	0.8969	4	227	541	34
9497	decision making	-0.4609	-0.2498	1	766	4075	292
9516	decision support system	-0.1621	-0.6774	2	336	774	42
9521	decision support systems	-0.611	-0.5488	1	529	1922	128
9536	decision tree	-0.1421	-0.83	2	766	5388	241
9548	decision trees	-0.6923	-0.5543	1	832	7826	495
9562	decisions makings	-0.7715	-0.5196	1	231	507	50
9568	decoding	-0.0115	0.4995	3	200	360	29
9572	decomposition	-0.0173	0.722	4	261	532	20
9599	deep belief network	-0.5839	-0.3775	1	254	528	23
9602	deep belief networks	-0.8449	-0.3751	1	227	419	27
9681	deep learning	-0.2593	0.2056	1	996	27677	1891
9682	deep learning (dl)	-0.8156	0.3555	1	238	493	54
9738	deep neural network	-0.2042	0.2078	4	747	3789	178
9741	deep neural networks	-0.4985	0.4251	4	848	7431	448
9881	delivery of health care	-0.6172	-0.3437	1	323	856	36
9918	demographics	0.4543	-0.7326	2	343	856	29
10025	depression	0.2348	-0.6702	2	290	663	37
10128	detection	-0.4585	-0.322	1	188	348	31
10130	detection algorithm	-0.0457	0.6605	4	316	776	35
10142	detection methods	-0.3141	0.5571	4	200	361	29
10170	deterioration	0.267	-0.3021	3	248	398	24
10226	devices	0.6655	0.3071	5	313	975	44
10245	diabetes	-0.2497	-0.9309	2	386	1139	99
10261	diabetes mellitus	0.2352	-0.8509	2	674	3535	148
10268	"diabetes mellitus, type 2"	0.4489	-0.896	2	231	505	18
10314	diabetic patient	0.1988	-0.9012	2	271	597	19
10319	diabetic retinopathy	0.0912	-0.9177	2	312	856	55
10339	diagnosis	-0.1094	-0.3072	1	993	20456	1222
10358	"diagnosis, computer-assisted"	0.0694	-0.0644	3	251	506	14
10362	diagnostic accuracy	0.2054	-0.0464	2	892	8873	323
10380	diagnostic imaging	0.9375	-0.0632	3	774	6912	252
10393	diagnostic procedure	0.6058	-0.038	3	230	419	19
10407	diagnostic test accuracy study	0.3528	-0.283	2	897	9695	321
10412	diagnostic value	0.7002	-0.3129	2	244	501	20
10417	diagnostics tools	-0.2327	0.561	4	238	452	24
10440	diastolic blood pressure	0.6966	0.034	5	596	3007	92
10631	digital storage	-0.9067	0.2191	1	416	1152	80
10678	dimensionality reduction	-0.464	-0.0332	1	534	1790	95
10760	discrete wavelet transform	-0.4775	0.7867	4	390	1328	50
10763	discrete wavelet transforms	-0.6834	0.6928	4	330	980	52
10771	discriminant analysis	-0.1858	-0.2352	1	588	2263	106
10793	disease classification	-0.466	0.2777	4	635	3039	151
10797	disease control	-0.0608	-0.3512	1	469	1309	83
10801	disease detection	-0.6386	-0.0857	1	476	1670	109
10805	disease diagnosis	-0.606	-0.3037	1	451	1448	97
10811	disease exacerbation	0.6806	-0.3977	2	252	468	17
10834	disease prediction	-0.7309	-0.7332	1	267	659	57
10853	disease risks	-0.3331	-0.8889	1	253	589	33
10855	disease severity	0.7627	-0.2386	2	501	1570	61
10870	diseases	-0.4058	0.0551	1	991	26391	1533
11364	drug therapy	0.5979	-0.7952	2	213	454	24
11647	dynamics	-0.0366	-0.0152	3	242	407	21
11694	e-learning	-0.406	-0.365	1	384	896	60
11728	early diagnosis	0.1204	-0.5129	2	610	2481	128
11755	early prediction	-0.5842	-0.8584	1	257	607	34
11796	ecg	-0.6047	0.7629	4	547	2757	162
11813	ecg classification	-0.7154	0.8866	4	181	397	21
11867	ecg signals	-0.6114	0.9364	4	352	1107	61
11907	echocardiography	0.8024	0.3764	3	541	2398	109
11915	echography	0.9661	-0.1034	3	366	1003	38
11934	economic and social effects	-0.7227	0.1755	1	265	518	45
11973	edge computing	-0.9881	0.1862	1	269	632	60
12078	efficiency	-0.7382	-0.0219	1	284	532	44
12119	ehealth	-0.6613	-0.4353	1	228	381	24
12185	electric activity	0.1363	0.6931	4	213	376	12
12222	electric potential	0.3811	0.5994	5	243	511	18
12325	electrocardiogram	-0.1302	0.7436	4	879	10828	491
12326	electrocardiogram (ecg)	-0.4909	0.836	4	460	1602	98
12348	electrocardiogram classification	-0.7079	0.7489	4	205	411	18
12374	electrocardiogram signal	-0.6352	0.8685	4	600	4160	220
12391	electrocardiograms	-0.5243	0.7909	4	793	8570	451
12408	electrocardiography	-0.1869	0.845	4	902	14170	639
12415	electrocardiography monitoring	-0.3256	0.7136	4	237	502	17
12460	electrodermal response	0.4767	0.2508	5	197	361	13
12461	electrodes	-0.014	0.5975	5	258	540	38
12463	electroencephalogram	0.0933	0.5285	5	395	1238	47
12473	electroencephalography	0.119	0.5969	5	613	2791	127
12526	electromyography	0.2659	0.5317	5	343	825	37
12546	electronic device	-0.0321	0.2986	5	328	851	38
12549	electronic health	-0.6037	-0.7245	1	233	609	38
12552	electronic health record	-0.33	-0.5693	1	596	2655	153
12556	electronic health records	-0.3417	-0.7828	1	355	1072	56
12568	electronic medical record	-0.3776	-0.4136	1	321	700	27
12613	electrophysiology	0.0924	0.3946	5	431	1317	71
12620	electrotherapeutics	0.1466	0.4165	5	282	653	43
12692	embeddings	-0.603	-0.1604	1	247	455	37
12763	emotion	0.021	0.1982	5	188	376	21
12796	empirical mode decomposition	-0.3872	0.9133	4	298	750	42
12918	energy	-0.5196	0.0361	1	221	372	40
12939	energy efficiency	-0.8302	0.2008	1	262	564	59
12981	energy utilization	-1.0323	0.1569	1	224	456	45
13148	ensemble learning	-0.7186	-0.4402	1	573	2442	208
13163	ensemble methods	-0.7989	-0.7358	1	198	395	28
13167	ensemble models	-0.4095	-0.5698	1	327	722	48
13190	ensemble-classifier	-0.9996	0.0174	1	175	360	28
13221	entropy	0.2047	0.3588	4	712	3374	132
13344	epidemiology	0.0219	-1.043	2	193	405	20
13384	equipment design	0.5701	0.2577	5	269	559	23
13439	errors	-0.309	0.1189	1	342	868	71
13468	estimated glomerular filtration rate	0.5241	-1.0109	2	198	353	11
13547	evaluation study	0.1688	-0.3302	3	267	518	22
13597	evolutionary algorithms	-1.0892	-0.3011	1	194	387	34
13657	exercise	0.4521	-0.0075	5	328	770	31
13773	explainable ai	-0.6946	-0.1186	1	290	711	68
13777	explainable artificial intelligence	-0.5099	-0.365	1	410	1251	89
13889	extraction	-0.3903	0.5153	4	718	4132	221
13906	extreme gradient boosting	-0.0472	-0.9808	2	235	527	25
13917	extreme learning machine	-0.5736	-0.526	1	282	537	38
13943	eye fundus	0.8374	-0.4644	2	193	428	20
13951	eye protection	-0.0224	-0.8247	2	232	571	36
13969	f1 scores	-0.9319	0.2744	1	305	826	57
14045	factual database	-0.005	0.8266	4	350	1034	34
14110	false negative result	0.1909	-0.2836	2	429	1252	41
14116	false positive result	0.3404	-0.4103	2	466	1536	51
14176	fasting blood glucose level	0.3635	-1.0234	2	197	401	12
14191	fatigue	0.2916	-0.154	5	226	451	21
14218	fault detection	-0.9366	0.401	1	170	337	48
14280	feasibility study	0.7398	-0.0934	5	343	712	29
14319	feature engineerings	-0.661	-0.379	1	259	552	36
14325	feature extraction	-0.271	0.4352	4	959	16604	830
14338	feature fusion	-0.4024	0.7245	4	247	518	38
14359	feature learning (machine learning)	0.1791	0.6128	4	269	546	19
14399	feature selection	-0.5499	-0.4153	1	878	9609	670
14402	feature selection algorithm	-0.1974	-0.1403	5	258	572	26
14413	feature selection methods	-0.7985	-0.0541	1	207	409	31
14462	features extraction	-0.2656	0.5153	4	840	7411	400
14466	features fusions	-0.32	0.6083	4	403	1052	70
14472	features selection	-0.9301	-0.4286	1	660	4398	304
14486	federated learning	-0.8326	-0.0884	1	436	1439	127
14504	feed forward neural network	-0.1616	-0.0427	2	225	420	17
14535	female	0.6629	-0.1414	2	969	18528	665
14791	filtration	-0.4051	0.6621	4	270	592	23
14855	finite element analysis	0.9346	0.0402	3	216	438	23
15190	fog computing	-1.0979	0.0446	1	248	626	63
15202	follow up	0.7571	-0.6331	2	418	1280	46
15267	forecasting	-0.4339	-0.428	1	948	14156	889
15290	forestry	-0.3744	-0.6656	1	529	2084	114
15351	fourier transform	0.1496	0.842	4	405	1264	39
15355	fourier transforms	-0.1218	0.8316	4	234	418	22
15491	frequency domain analysis	-0.4104	0.8256	4	414	1444	72
15670	functional magnetic resonance imaging	0.4125	0.0954	5	208	371	13
15856	fuzzy inference	-0.7934	-0.3152	1	364	1105	103
15881	fuzzy logic	-0.3646	-0.5425	1	407	1162	95
15907	fuzzy neural networks	-0.8572	-0.2655	1	342	960	82
15949	fuzzy system	-0.0525	-0.5786	2	264	596	27
15951	fuzzy systems	-0.8442	-0.3227	1	237	598	61
15977	fuzzy-logic	-0.514	-0.5016	1	283	618	48
16005	gait	0.4005	-0.0061	5	316	795	32
16010	gait analysis	0.2124	0.1309	5	186	398	28
16165	gated recurrent unit	-0.7715	0.4514	4	212	393	35
16167	gated recurrent unit network	0.2693	0.4112	4	256	566	19
16183	gaussian distribution	-0.5501	0.3814	1	260	432	36
16270	gender	0.3061	-0.6222	2	221	411	15
16282	gene expression	0.204	-0.7004	2	244	565	41
16376	generative adversarial network	-0.3206	0.1746	1	241	469	31
16379	generative adversarial networks	-0.2413	0.1598	1	352	831	64
16406	genetic algorithm	-0.3682	-0.3269	1	518	1847	124
16413	genetic algorithms	-0.7581	-0.1091	1	510	1903	144
16440	genetic procedures	0.563	-0.3707	2	269	716	35
16455	genetics	0.6417	-0.7976	2	211	559	36
16527	geometry	0.8009	0.0854	3	378	972	50
16673	glucose	0.2912	-0.7497	2	525	1809	71
16676	glucose blood level	0.3348	-0.7988	2	503	1884	60
16804	gradient boosting	-0.5057	-0.621	1	454	1598	103
16831	gradient methods	-0.8972	-0.1618	1	259	522	35
16911	graph neural networks	-0.2961	-0.054	1	270	526	47
16994	gray wolves	-1.1569	0.1393	1	229	560	33
17197	haemodynamics	1.0725	0.2294	3	301	865	46
17392	health	-0.077	-0.2696	1	218	348	32
17408	health care	-0.8422	-0.209	1	672	4365	313
17412	health care application	-0.7867	0.0328	1	229	414	29
17413	health care cost	0.0417	-0.7126	2	263	501	21
17417	health care delivery	-0.5388	-0.3255	1	340	905	39
17431	health care personnel	0.1001	-0.5819	2	361	756	27
17441	health care system	-0.1577	-0.5426	2	346	832	30
17458	health data	-0.2548	-0.3873	1	284	546	31
17501	health monitoring	-0.1227	0.4045	5	345	881	68
17521	health records	-0.5892	-0.7641	1	244	659	41
17527	health risks	-0.2024	-0.5045	1	606	2345	146
17535	health status	-0.0243	-0.476	2	272	482	23
17554	healthcare	-0.7763	-0.2455	1	497	1776	183
17644	healthcare systems	-0.9117	-0.2214	1	334	876	68
17664	heart	-0.0828	0.4441	3	955	18158	973
17675	heart arrhythmia	-0.1586	0.9584	4	658	4614	156
17690	heart attack	-0.4928	-0.444	1	237	495	33
17696	heart beat	-0.0869	0.9917	4	337	1101	37
17700	heart beats	-0.6009	1.011	4	233	531	25
17708	heart contraction	0.8964	0.6331	3	219	393	13
17709	heart cycle	0.7665	0.5793	3	467	1432	45
17714	heart disease	-0.5724	-0.0648	1	856	9262	549
17725	heart disease diagnosis	-1.1123	0.3121	1	208	473	30
17730	heart disease prediction	-1.174	-0.3716	1	295	1038	79
17741	heart diseases	-0.243	-0.2517	6	465	1678	69
17747	heart failure	0.1884	-0.4271	2	745	3813	181
17758	heart function	0.8409	0.4408	3	329	839	34
17766	heart infarction	0.4606	0.0861	2	573	2404	81
17772	heart left bundle branch block	-0.0378	1.046	4	290	828	25
17773	heart left ventricle	1.0383	0.3145	3	236	550	20
17776	heart left ventricle ejection fraction	0.9236	-0.1188	3	363	925	27
17781	heart left ventricle function	1.0447	-0.0196	3	179	351	13
17807	heart muscle ischemia	0.8475	0.1393	3	220	365	15
17815	heart output	1.1208	0.2107	3	252	579	19
17827	heart rate	0.335	0.5667	5	820	7258	272
17850	heart rate variability	0.0239	0.6423	5	640	3236	163
17862	heart rhythm	0.0806	0.9234	4	260	530	17
17867	heart right bundle branch block	-0.3193	1.0856	4	260	792	22
17880	heart sound	-0.0462	0.9444	4	356	1245	51
17889	heart sounds	-0.2331	0.9692	4	330	1125	61
17893	heart stroke volume	1.0646	0.054	3	240	482	18
17918	heart ventricle	1.0647	0.3582	3	201	493	17
17923	heart ventricle extrasystole	-0.2818	1.1402	4	301	1153	38
17934	heart ventricles	1.1013	0.3388	3	189	471	16
